ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
KEN,810620,Children exclusively breastfed,23,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,1989,DHS,672,671,,,
KEN,810622,Children currently breastfeeding,98.3,1,KE,Kenya,1989,KE1989DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,1989,DHS,672,671,,,
KEN,344457,Children stunted,39.9,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,1993,DHS,4757,4829,,,
KEN,345016,Children wasted,6.7,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,1993,DHS,4757,4829,,,
KEN,345017,Children overweight,5.7,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,1993,DHS,4757,4829,,,
KEN,770791,Children exclusively breastfed,17,1,KE,Kenya,1993,KE1993DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,1993,DHS,514,518,,,
KEN,770789,Children currently breastfeeding,98.4,1,KE,Kenya,1993,KE1993DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,1993,DHS,514,518,,,
KEN,345212,Women who are thin according to BMI (<18.5),10,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,1993,DHS,3242,3226,,,
KEN,345215,Women who are overweight or obese according to BMI (>=25.0),14.3,1,KE,Kenya,1993,KE1993DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,1993,DHS,3242,3226,,,
KEN,79474,Children stunted,37.7,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,1998,DHS,4433,4539,,,
KEN,362499,Children wasted,6.9,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,1998,DHS,4433,4539,,,
KEN,362500,Children overweight,6.3,1,KE,Kenya,1998,KE1998DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,1998,DHS,4433,4539,,,
KEN,185727,Children who started breastfeeding within 1 hour of birth,56.4,1,KE,Kenya,1998,KE1998DHS,CN_BRFI_C_1HR,104266020,I,1000,0,Total,Total,0,,1,1,CNBRFIC1HR,,1998,DHS,2255,2300,,,
KEN,277007,Children exclusively breastfed,12.6,1,KE,Kenya,1998,KE1998DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,1998,DHS,517,518,,,
KEN,277004,Children currently breastfeeding,99.4,1,KE,Kenya,1998,KE1998DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,1998,DHS,517,518,,,
KEN,587041,Women who are thin according to BMI (<18.5),11.9,1,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,1998,DHS,3106,3133,,,
KEN,587038,Women who are overweight or obese according to BMI (>=25.0),15,1,KE,Kenya,1998,KE1998DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,1998,DHS,3106,3133,,,
KEN,241943,Children stunted,35.7,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,2003,DHS,5312,5070,,,
KEN,277417,Children wasted,6,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,2003,DHS,5312,5070,,,
KEN,277419,Children overweight,5.5,1,KE,Kenya,2003,KE2003DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,2003,DHS,5312,5070,,,
KEN,411050,Children who started breastfeeding within 1 hour of birth,49.6,1,KE,Kenya,2003,KE2003DHS,CN_BRFI_C_1HR,104266020,I,1000,0,Total,Total,0,,1,1,CNBRFIC1HR,,2003,DHS,2416,2357,,,
KEN,176254,Children exclusively breastfed,12.7,1,KE,Kenya,2003,KE2003DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,2003,DHS,607,599,,,
KEN,176250,Children currently breastfeeding,99.8,1,KE,Kenya,2003,KE2003DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,2003,DHS,607,599,,,
KEN,411128,Women who are thin according to BMI (<18.5),12.3,1,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,2003,DHS,7047,7011,,,
KEN,411122,Women who are overweight or obese according to BMI (>=25.0),23.4,1,KE,Kenya,2003,KE2003DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,2003,DHS,7047,7011,,,
KEN,411161,Children stunted,35.3,1,KE,Kenya,2008,KE2008DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,2008-09,DHS,5470,5563,,,
KEN,127058,Children wasted,6.7,1,KE,Kenya,2008,KE2008DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,2008-09,DHS,5470,5563,,,
KEN,127059,Children overweight,4.7,1,KE,Kenya,2008,KE2008DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,2008-09,DHS,5470,5563,,,
KEN,212490,Children who started breastfeeding within 1 hour of birth,55.8,1,KE,Kenya,2008,KE2008DHS,CN_BRFI_C_1HR,104266020,I,1000,0,Total,Total,0,,1,1,CNBRFIC1HR,,2008-09,DHS,2264,2373,,,
KEN,132910,Children exclusively breastfed,31.9,1,KE,Kenya,2008,KE2008DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,2008-09,DHS,527,587,,,
KEN,132914,Children currently breastfeeding,99.1,1,KE,Kenya,2008,KE2008DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,2008-09,DHS,527,587,,,
KEN,765228,Households with iodized salt,99.8,1,KE,Kenya,2008,KE2008DHS,CN_IODZ_H_IOD,104531050,I,1000,0,Total,Total,0,,1,1,CNIODZHIOD,,2008-09,DHS,8562,8516,,,
KEN,69713,Women who are thin according to BMI (<18.5),12.3,1,KE,Kenya,2008,KE2008DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,2008-09,DHS,7548,7509,,,
KEN,69709,Women who are overweight or obese according to BMI (>=25.0),25.1,1,KE,Kenya,2008,KE2008DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,2008-09,DHS,7548,7509,,,
KEN,562953,Women with a birth in the past five years who took iron tablets or syrup for 90+ days,2.5,1,KE,Kenya,2008,KE2008DHS,AN_MIAM_W_90P,114633050,I,1000,0,Total,Total,0,,1,1,ANMIAMW90P,,2008-09,DHS,3973,4082,,,
