ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
KEN,345436,Households with an improved sanitation facility,16,1,KE,Kenya,1993,KE1993DHS,WS_TLET_H_IMP,250261010,I,1000,0,Total,Total,0,,1,1,WSTLETHIMP,,1993,DHS,7950,7950,,,
KEN,345441,Households with a ventilated improved pit latrine (VIP),6.1,1,KE,Kenya,1993,KE1993DHS,WS_TLET_H_VIP,250261050,I,1000,0,Total,Total,0,,1,1,WSTLETHVIP,,1993,DHS,7950,7950,,,
KEN,345437,Households with an unimproved sanitation facility,67.2,1,KE,Kenya,1993,KE1993DHS,WS_TLET_H_NIM,250261150,I,1000,0,Total,Total,0,,1,1,WSTLETHNIM,,1993,DHS,7950,7950,,,
KEN,345435,Households with a pit latrine without a slab or an open pit,65.8,1,KE,Kenya,1993,KE1993DHS,WS_TLET_H_NPT,250261180,I,1000,0,Total,Total,0,,1,1,WSTLETHNPT,,1993,DHS,7950,7950,,,
KEN,345439,Households using open defecation,16.8,1,KE,Kenya,1993,KE1993DHS,WS_TLET_H_NFC,250261210,I,1000,0,Total,Total,0,,1,1,WSTLETHNFC,,1993,DHS,7950,7950,,,
KEN,345442,Households with don't know or missing information on toilet facility,0.6,1,KE,Kenya,1993,KE1993DHS,WS_TLET_H_DKM,250261220,S,1000,0,Total,Total,0,,1,1,WSTLETHDKM,,1993,DHS,7950,7950,,,
KEN,345443,Households total,100,1,KE,Kenya,1993,KE1993DHS,WS_TLET_H_TOT,250261230,T,1000,0,Total,Total,0,,1,1,WSTLETHTOT,,1993,DHS,7950,7950,,,
KEN,345444,Number of households,7950,0,KE,Kenya,1993,KE1993DHS,WS_TLET_H_NUM,250261240,D,1000,0,Total,Total,0,,1,1,WSTLETHNUM,,1993,DHS,,7950,,,
KEN,346436,Number of households (unweighted),7950,0,KE,Kenya,1993,KE1993DHS,WS_TLET_H_UNW,250261250,U,1000,0,Total,Total,0,,1,1,WSTLETHUNW,,1993,DHS,7950,,,,
KEN,344764,Population with an improved sanitation facility,13.6,1,KE,Kenya,1993,KE1993DHS,WS_TLET_P_IMP,250262010,I,1000,0,Total,Total,0,,1,1,WSTLETPIMP,,1993,DHS,38096,37934,,,
KEN,344768,Population with a ventilated improved pit latrine (VIP),5.6,1,KE,Kenya,1993,KE1993DHS,WS_TLET_P_VIP,250262050,I,1000,0,Total,Total,0,,1,1,WSTLETPVIP,,1993,DHS,38096,37934,,,
KEN,344772,Population with an unimproved sanitation facility,68.7,1,KE,Kenya,1993,KE1993DHS,WS_TLET_P_NIM,250262150,I,1000,0,Total,Total,0,,1,1,WSTLETPNIM,,1993,DHS,38096,37934,,,
KEN,344773,Population with a pit latrine without a slab or an open pit,67.7,1,KE,Kenya,1993,KE1993DHS,WS_TLET_P_NPT,250262180,I,1000,0,Total,Total,0,,1,1,WSTLETPNPT,,1993,DHS,38096,37934,,,
KEN,344766,Population using open defecation,17.8,1,KE,Kenya,1993,KE1993DHS,WS_TLET_P_NFC,250262210,I,1000,0,Total,Total,0,,1,1,WSTLETPNFC,,1993,DHS,38096,37934,,,
KEN,344769,Population with don't know or missing information on toilet facility,0.5,1,KE,Kenya,1993,KE1993DHS,WS_TLET_P_DKM,250262220,S,1000,0,Total,Total,0,,1,1,WSTLETPDKM,,1993,DHS,38096,37934,,,
KEN,344770,Population total,100,1,KE,Kenya,1993,KE1993DHS,WS_TLET_P_TOT,250262230,T,1000,0,Total,Total,0,,1,1,WSTLETPTOT,,1993,DHS,38096,37934,,,
KEN,344771,Number of persons,38096,0,KE,Kenya,1993,KE1993DHS,WS_TLET_P_NUM,250262240,D,1000,0,Total,Total,0,,1,1,WSTLETPNUM,,1993,DHS,,37934,,,
KEN,346437,Number of persons (unweighted),37934,0,KE,Kenya,1993,KE1993DHS,WS_TLET_P_UNW,250262250,U,1000,0,Total,Total,0,,1,1,WSTLETPUNW,,1993,DHS,38096,,,,
KEN,97999,Households with an improved sanitation facility,18.7,1,KE,Kenya,1998,KE1998DHS,WS_TLET_H_IMP,250261010,I,1000,0,Total,Total,0,,1,1,WSTLETHIMP,,1998,DHS,8380,8380,,,
KEN,98043,Households with a ventilated improved pit latrine (VIP),6.9,1,KE,Kenya,1998,KE1998DHS,WS_TLET_H_VIP,250261050,I,1000,0,Total,Total,0,,1,1,WSTLETHVIP,,1998,DHS,8380,8380,,,
