ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
KEN,345498,Households using an improved water source,43.8,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_H_IMP,250161010,I,1000,0,Total,Total,0,,1,1,WSSRCEHIMP,,1993,DHS,7950,7950,,,
KEN,345508,Households using water piped into dwelling,19.4,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_H_PIP,250161020,I,1000,0,Total,Total,0,,1,1,WSSRCEHPIP,,1993,DHS,7950,7950,,,
KEN,345509,Households using a public tap/standpipe,13.2,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_H_TAP,250161030,I,1000,0,Total,Total,0,,1,1,WSSRCEHTAP,,1993,DHS,7950,7950,,,
KEN,345510,Households using a tubewell/borehole,8.9,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_H_TUB,250161040,I,1000,0,Total,Total,0,,1,1,WSSRCEHTUB,,1993,DHS,7950,7950,,,
KEN,345504,Households using rainwater,2.2,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_H_RNW,250161070,I,1000,0,Total,Total,0,,1,1,WSSRCEHRNW,,1993,DHS,7950,7950,,,
KEN,345503,Households using an unimproved water source,55.6,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_H_NIM,250161090,I,1000,0,Total,Total,0,,1,1,WSSRCEHNIM,,1993,DHS,7950,7950,,,
KEN,345499,Households using an unprotected well water,12.2,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_H_UWL,250161100,I,1000,0,Total,Total,0,,1,1,WSSRCEHUWL,,1993,DHS,7950,7950,,,
KEN,345496,Households using surface water,40.7,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_H_SRF,250161130,I,1000,0,Total,Total,0,,1,1,WSSRCEHSRF,,1993,DHS,7950,7950,,,
KEN,345497,Households using other water source,2.8,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_H_OTH,250161140,I,1000,0,Total,Total,0,,1,1,WSSRCEHOTH,,1993,DHS,7950,7950,,,
KEN,345500,Households with don't know or missing information on water source,0.6,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_H_DKM,250161150,S,1000,0,Total,Total,0,,1,1,WSSRCEHDKM,,1993,DHS,7950,7950,,,
KEN,345505,Households: Total,100,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_H_TOT,250161160,T,1000,0,Total,Total,0,,1,1,WSSRCEHTOT,,1993,DHS,7950,7950,,,
KEN,346414,Population using an improved water source,38.6,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_IMP,250162010,I,1000,0,Total,Total,0,,1,1,WSSRCEPIMP,,1993,DHS,38096,37934,,,
KEN,346421,Population using water piped into dwelling,16,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_PIP,250162020,I,1000,0,Total,Total,0,,1,1,WSSRCEPPIP,,1993,DHS,38096,37934,,,
KEN,346415,Population using a public tap/standpipe,11.2,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_TAP,250162030,I,1000,0,Total,Total,0,,1,1,WSSRCEPTAP,,1993,DHS,38096,37934,,,
KEN,346426,Population using a tubewell/borehole,9.3,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_TUB,250162040,I,1000,0,Total,Total,0,,1,1,WSSRCEPTUB,,1993,DHS,38096,37934,,,
KEN,346427,Population using rainwater,2.2,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_RNW,250162070,I,1000,0,Total,Total,0,,1,1,WSSRCEPRNW,,1993,DHS,38096,37934,,,
KEN,346422,Population using an unimproved water source,60.8,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_NIM,250162090,I,1000,0,Total,Total,0,,1,1,WSSRCEPNIM,,1993,DHS,38096,37934,,,
KEN,346417,Population using an unprotected well water,13.5,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_UWL,250162100,I,1000,0,Total,Total,0,,1,1,WSSRCEPUWL,,1993,DHS,38096,37934,,,
KEN,346430,Population using surface water,44.7,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_SRF,250162130,I,1000,0,Total,Total,0,,1,1,WSSRCEPSRF,,1993,DHS,38096,37934,,,
KEN,346431,Population using other water source,2.6,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_OTH,250162140,I,1000,0,Total,Total,0,,1,1,WSSRCEPOTH,,1993,DHS,38096,37934,,,
KEN,346432,Population with don't know or missing information on water source,0.6,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_DKM,250162150,S,1000,0,Total,Total,0,,1,1,WSSRCEPDKM,,1993,DHS,38096,37934,,,
KEN,346423,Population: Total,100,1,KE,Kenya,1993,KE1993DHS,WS_SRCE_P_TOT,250162160,T,1000,0,Total,Total,0,,1,1,WSSRCEPTOT,,1993,DHS,38096,37934,,,
KEN,345501,Households with water on the premises,26.4,1,KE,Kenya,1993,KE1993DHS,WS_TIME_H_ONP,250201010,I,1000,0,Total,Total,0,,1,1,WSTIMEHONP,,1993,DHS,7950,7950,,,
KEN,345506,Households with water 30 minutes or less away round trip,56.4,1,KE,Kenya,1993,KE1993DHS,WS_TIME_H_L30,250201020,I,1000,0,Total,Total,0,,1,1,WSTIMEHL30,,1993,DHS,7950,7950,,,
KEN,345511,Households with water more than 30 minutes away round trip,16.4,1,KE,Kenya,1993,KE1993DHS,WS_TIME_H_M30,250201030,I,1000,0,Total,Total,0,,1,1,WSTIMEHM30,,1993,DHS,7950,7950,,,
KEN,345512,Household with unknown or missing information on round trip time to water,0.9,1,KE,Kenya,1993,KE1993DHS,WS_TIME_H_DKM,250201040,S,1000,0,Total,Total,0,,1,1,WSTIMEHDKM,,1993,DHS,7950,7950,,,
KEN,345513,Households: Total,100,1,KE,Kenya,1993,KE1993DHS,WS_TIME_H_TOT,250201050,T,1000,0,Total,Total,0,,1,1,WSTIMEHTOT,,1993,DHS,7950,7950,,,
KEN,346418,Population with water on the premises,22.4,1,KE,Kenya,1993,KE1993DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,,1,1,WSTIMEPONP,,1993,DHS,38096,37934,,,
KEN,346424,Population with water 30 minutes or less away round trip,58.4,1,KE,Kenya,1993,KE1993DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,,1,1,WSTIMEPL30,,1993,DHS,38096,37934,,,
KEN,346419,Population with water more than 30 minutes away round trip,18.4,1,KE,Kenya,1993,KE1993DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,,1,1,WSTIMEPM30,,1993,DHS,38096,37934,,,
KEN,346428,Population with unknown or missing information on round trip time to water,0.8,1,KE,Kenya,1993,KE1993DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,,1,1,WSTIMEPDKM,,1993,DHS,38096,37934,,,
KEN,346429,Population: Total,100,1,KE,Kenya,1993,KE1993DHS,WS_TIME_P_TOT,250202050,T,1000,0,Total,Total,0,,1,1,WSTIMEPTOT,,1993,DHS,38096,37934,,,
KEN,345585,Number of households,7950,0,KE,Kenya,1993,KE1993DHS,WS_WTRT_H_NUM,250231100,D,1000,0,Total,Total,0,,1,1,WSWTRTHNUM,,1993,DHS,,7950,,,
KEN,345891,Number of households (unweighted),7950,0,KE,Kenya,1993,KE1993DHS,WS_WTRT_H_UNW,250231110,U,1000,0,Total,Total,0,,1,1,WSWTRTHUNW,,1993,DHS,7950,,,,
KEN,346434,Number of persons,38096,0,KE,Kenya,1993,KE1993DHS,WS_WTRT_P_NUM,250232100,D,1000,0,Total,Total,0,,1,1,WSWTRTPNUM,,1993,DHS,,37934,,,
KEN,346435,Number of persons (unweighted),37934,0,KE,Kenya,1993,KE1993DHS,WS_WTRT_P_UNW,250232110,U,1000,0,Total,Total,0,,1,1,WSWTRTPUNW,,1993,DHS,38096,,,,
KEN,643973,Households using an improved water source,35.5,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_H_IMP,250161010,I,1000,0,Total,Total,0,,1,1,WSSRCEHIMP,,1998,DHS,8380,8380,,,
KEN,643975,Households using water piped into dwelling,23.2,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_H_PIP,250161020,I,1000,0,Total,Total,0,,1,1,WSSRCEHPIP,,1998,DHS,8380,8380,,,
KEN,643976,Households using a public tap/standpipe,11,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_H_TAP,250161030,I,1000,0,Total,Total,0,,1,1,WSSRCEHTAP,,1998,DHS,8380,8380,,,
KEN,643972,Households using rainwater,1.3,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_H_RNW,250161070,I,1000,0,Total,Total,0,,1,1,WSSRCEHRNW,,1998,DHS,8380,8380,,,
KEN,643971,Households using an unimproved water source,64.3,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_H_NIM,250161090,I,1000,0,Total,Total,0,,1,1,WSSRCEHNIM,,1998,DHS,8380,8380,,,
KEN,643969,Households using surface water,42.7,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_H_SRF,250161130,I,1000,0,Total,Total,0,,1,1,WSSRCEHSRF,,1998,DHS,8380,8380,,,
KEN,643970,Households using other water source,2.1,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_H_OTH,250161140,I,1000,0,Total,Total,0,,1,1,WSSRCEHOTH,,1998,DHS,8380,8380,,,
KEN,643974,Households with don't know or missing information on water source,0.2,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_H_DKM,250161150,S,1000,0,Total,Total,0,,1,1,WSSRCEHDKM,,1998,DHS,8380,8380,,,
KEN,643977,Households: Total,100,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_H_TOT,250161160,T,1000,0,Total,Total,0,,1,1,WSSRCEHTOT,,1998,DHS,8380,8380,,,
KEN,231001,Population using an improved water source,30.2,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_P_IMP,250162010,I,1000,0,Total,Total,0,,1,1,WSSRCEPIMP,,1998,DHS,35916,36861,,,
KEN,231006,Population using water piped into dwelling,19.5,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_P_PIP,250162020,I,1000,0,Total,Total,0,,1,1,WSSRCEPPIP,,1998,DHS,35916,36861,,,
KEN,231002,Population using a public tap/standpipe,9.4,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_P_TAP,250162030,I,1000,0,Total,Total,0,,1,1,WSSRCEPTAP,,1998,DHS,35916,36861,,,
KEN,230998,Population using rainwater,1.3,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_P_RNW,250162070,I,1000,0,Total,Total,0,,1,1,WSSRCEPRNW,,1998,DHS,35916,36861,,,
KEN,231007,Population using an unimproved water source,69.6,1,KE,Kenya,1998,KE1998DHS,WS_SRCE_P_NIM,250162090,I,1000,0,Total,Total,0,,1,1,WSSRCEPNIM,,1998,DHS,35916,36861,,,
